"cbo_2002","grupo_cargo","n","TITULO"
715525,"Outros",1,"Carpinteiro de obras"
715545,"Outros",4,"Montador de andaimes (edificações)"
715610,"Outros",21,"Eletricista de instalações (edifícios)"
715615,"Outros",10,"Eletricista de instalações"
716305,"Outros",1,"Vidraceiro"
716405,"Outros",1,"Gesseiro"
716510,"Outros",9,"Assentador de revestimentos cerâmicos"
716610,"Outros",18,"Pintor de obras"
717010,"Outros",1,"Operador de martelete"
717020,"Outros",229,"Servente de obras"
720210,"Outros",2,"Mestre (indústria de automotores e material de transportes)"
721215,"Outros",5,"Operador de máquinas-ferramenta convencionais"
723310,"Outros",2,"Pintor a pincel e rolo (exceto obras e estruturas metálicas)"
724110,"Outros",2,"Encanador"
724115,"Outros",3,"Instalador de tubulações"
724315,"Outros",9,"Soldador"
724410,"Outros",4,"Caldeireiro (chapas de ferro e aço)"
724440,"Outros",8,"Serralheiro"
731110,"Support",13,"Montador de equipamentos eletrônicos (computadores e equipamentos auxiliares)"
751125,"Outros",1,"Ourives"
760105,"Outros",5,"Contramestre de acabamento (indústria têxtil)"
760605,"Outros",4,"Supervisor das artes gráficas  (indústria editorial e gráfica)"
761420,"Outros",1,"Operador de chamuscadeira de tecidos"
764305,"Outros",1,"Acabador de calçados"
766315,"Outros",4,"Operador de acabamento (indústria gráfica)"
771105,"Outros",2,"Marceneiro"
782115,"Outros",2,"Operador de guindaste móvel"
782205,"Outros",4,"Guincheiro (construção civil)"
782305,"Support",205,"Motorista de carro de passeio"
782310,"Operational",45,"Motorista de furgão ou veículo similar"
782315,"Outros",18,"Motorista de táxi"
782510,"Outros",4,"Motorista de caminhão (rotas regionais e internacionais)"
782515,"Outros",1,"Motorista operacional de guincho"
783110,"Outros",3,"Manobrador"
783210,"Outros",9,"Carregador (armazém)"
783225,"Outros",12,"Ajudante de motorista"
784205,"Outros",237,"Alimentador de linha de produção"
818110,"Outros",34,"Auxiliar de laboratório de análises físico-químicas"
821450,"Outros",2,"Rebarbador de metal"
841408,"Support",74,"Cozinhador (conservação de alimentos)"
841468,"Outros",1,"Preparador de rações"
