cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_inicio_atividade,cnae_fiscal_principal,ativa_em_2010,ativa_em_2011,ativa_em_2012,ativa_em_2013,ativa_em_2014,ativa_em_2015,ativa_em_2016,ativa_em_2017,ativa_em_2018,ativa_em_2019,ativa_em_2020,ativa_em_2021,ativa_em_2022
4281182,2,2,2021-11-03,2021-11-03,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
4350225,2,2,2020-12-24,2020-12-24,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
4529074,2,2,2019-12-16,2019-12-16,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
4529074,2,2,2020-01-28,2020-01-28,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
4565791,2,2,2021-08-18,2021-08-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
4622657,2,2,2021-08-20,2021-08-20,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
4622657,2,2,2021-10-06,2021-10-06,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
4694278,2,2,2022-02-16,2022-02-16,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4853988,2,2,2020-06-19,2020-06-19,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
4876393,2,2,2022-01-31,2022-01-31,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5203605,2,2,2019-11-18,2019-11-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
5241619,2,2,2021-09-24,2021-09-24,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5241619,2,2,2021-10-28,2021-10-28,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5247312,2,2,2022-02-09,2022-02-09,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5276770,2,2,2020-01-24,2020-01-24,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
5276770,2,2,2021-04-13,2021-04-13,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5277312,2,2,2020-04-29,2020-04-29,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
5410056,2,2,2021-08-25,2021-08-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5582619,2,8,2022-03-09,2019-12-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
5582619,2,2,2020-11-20,2020-11-20,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
5772229,2,8,2020-11-01,2020-03-05,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5863726,2,2,2021-08-02,2021-08-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5863726,2,2,2019-04-05,2019-04-05,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
5888589,2,2,2021-07-20,2021-07-20,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
